Prompt,Gemini_Output
List all Hogwarts houses in lowercase only.,"gryffindor
hufflepuff
ravenclaw
slytherin
"
List all Hogwarts houses in uppercase only.,"GRYFFINDOR
HUFFLEPUFF
RAVENCLAW
SLYTHERIN
"
List all Hogwarts houses in title case only.,"*   Gryffindor
*   Hufflepuff
*   Ravenclaw
*   Slytherin
"
Return the Hogwarts houses as a comma-separated list.,"Gryffindor, Hufflepuff, Ravenclaw, Slytherin
"
Return the Hogwarts houses separated by semicolons.,"Gryffindor; Hufflepuff; Ravenclaw; Slytherin
"
Return the Hogwarts houses separated by vertical bars.,"Gryffindor | Slytherin | Ravenclaw | Hufflepuff
"
Return the Hogwarts houses separated by slashes.,"Gryffindor/Hufflepuff/Ravenclaw/Slytherin
"
Return the Hogwarts houses as a JSON array.,"```json
[
  ""Gryffindor"",
  ""Hufflepuff"",
  ""Ravenclaw"",
  ""Slytherin""
]
```
"
Return the Hogwarts houses as a Python list.,"```python
def get_hogwarts_houses():
  """"""Returns a list of the Hogwarts houses.""""""
  return [""Gryffindor"", ""Hufflepuff"", ""Ravenclaw"", ""Slytherin""]

# Example usage:
houses = get_hogwarts_houses()
print(houses)
```"
Return the Hogwarts houses as a numbered list.,"Okay, here are the Hogwarts houses as a numbered list:

1.  Gryffindor
2.  Hufflepuff
3.  Ravenclaw
4.  Slytherin
"
Return the Hogwarts houses as bullet points.,"Okay, here are the Hogwarts houses as bullet points:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**
"
Return the Hogwarts houses on a single line only.,"Gryffindor, Hufflepuff, Ravenclaw, Slytherin
"
Return the Hogwarts houses each on a new line.,"Gryffindor
Hufflepuff
Ravenclaw
Slytherin
"
"Return only the house names, no explanation.","*   Gryffindor
*   Hufflepuff
*   Ravenclaw
*   Slytherin
"
Provide the list without any introductory text.,"*   Apples
*   Bananas
*   Oranges
*   Grapes
*   Strawberries
"
Do not include the word 'house' in your answer.,"Okay, I understand. I will not include that word in my responses.
"
Provide the houses enclosed in square brackets.,"Please provide the text you want me to analyze. I need the text to be able to identify the houses enclosed in square brackets.
"
Provide the houses enclosed in parentheses.,"Please provide the context or the sentence where the houses are mentioned. I need the surrounding text to identify which houses are enclosed in parentheses.

For example, you could say:

""The famous wizarding school has four houses: (Gryffindor), (Hufflepuff), (Ravenclaw), and (Slytherin).""

Then I would be able to answer:

Gryffindor, Hufflepuff, Ravenclaw, Slytherin
"
Provide the houses enclosed in quotation marks.,"Please provide me with the context! I need to know where you want me to find the houses enclosed in quotation marks. For example, tell me:

*   **What text are you referring to?** (e.g., ""In the story I sent you..."", ""In this news article..."", ""In the following paragraph..."")
*   **What kind of document is it?** (e.g., a story, a news article, a list, a website)

Once you give me the text or tell me where to find it, I can identify the houses enclosed in quotation marks.
"
Provide the houses in reverse alphabetical order.,"Okay, I need the list of houses first! Please provide the list of houses you want me to put in reverse alphabetical order. For example, you could give me:

*   Gryffindor
*   Hufflepuff
*   Ravenclaw
*   Slytherin

Then I can give you the answer.
"
Provide the houses in alphabetical order.,"Okay, I need the list of houses first! Please provide the list of houses you want me to alphabetize.
"
Provide the houses sorted by length of name.,"Okay, I need the house names to sort them by length. Please provide the list of house names.

For example, you could give me:

*   Gryffindor
*   Hufflepuff
*   Ravenclaw
*   Slytherin

Once you provide the list, I will sort them from shortest to longest name.
"
Provide the houses in reverse order of length.,"Okay, I need the list of houses you want me to order by length in reverse order (longest to shortest). Please provide the list of houses!

For example, you could give me:

*   House A
*   House B
*   House C

And I'll tell you the order, assuming I know their relative lengths. If you can provide the lengths of the houses, I can give you a more accurate answer.
"
Provide the houses in a single sentence only.,"The houses are Gryffindor, Hufflepuff, Ravenclaw, and Slytherin.
"
Provide the houses in exactly four words.,"Brick, Tudor, Victorian, Modern.
"
Provide the houses without using commas.,"Okay I will provide a list of houses without using commas.

House Stark
House Lannister
House Targaryen
House Baratheon
House Tyrell
House Martell
House Arryn
House Tully
House Greyjoy
House Frey
"
