id,category,prompt,difficulty,constraint_count,steps,paraphrase_group,source
1,instructability,List all Hogwarts houses in lowercase only.,easy,1,,,original
2,instructability,List all Hogwarts houses in uppercase only.,easy,1,,,original
3,instructability,List all Hogwarts houses in title case only.,easy,1,,,original
4,instructability,Return the Hogwarts houses as a comma-separated list.,easy,1,,,original
5,instructability,Return the Hogwarts houses separated by semicolons.,easy,1,,,original
6,instructability,Return the Hogwarts houses separated by vertical bars.,easy,1,,,original
7,instructability,Return the Hogwarts houses separated by slashes.,easy,1,,,original
8,instructability,Return the Hogwarts houses as a JSON array.,easy,1,,,original
9,instructability,Return the Hogwarts houses as a Python list.,easy,1,,,original
10,instructability,Return the Hogwarts houses as a numbered list.,easy,1,,,original
11,instructability,Return the Hogwarts houses as bullet points.,easy,1,,,original
12,instructability,Return the Hogwarts houses on a single line only.,easy,1,,,original
13,instructability,Return the Hogwarts houses each on a new line.,easy,1,,,original
14,instructability,"Return only the house names, no explanation.",easy,1,,,original
15,instructability,Provide the list without any introductory text.,easy,1,,,original
16,instructability,Do not include the word “house” in your answer.,easy,1,,,original
17,instructability,Provide the houses enclosed in square brackets.,easy,1,,,original
18,instructability,Provide the houses enclosed in parentheses.,easy,1,,,original
19,instructability,Provide the houses enclosed in quotation marks.,easy,1,,,original
20,instructability,Provide the houses in reverse alphabetical order.,easy,1,,,original
21,instructability,Provide the houses in alphabetical order.,easy,1,,,original
22,instructability,Provide the houses sorted by length of name.,easy,1,,,original
23,instructability,Provide the houses in reverse order of length.,easy,1,,,original
24,instructability,Provide the houses in a single sentence only.,easy,1,,,original
25,instructability,Provide the houses in exactly four words.,easy,1,,,original
26,instructability,Provide the houses without using commas.,easy,1,,,original
27,instructability,Provide the houses without using conjunctions.,easy,1,,,original
28,instructability,Provide the houses separated by the word “and”.,easy,1,,,original
29,instructability,Provide the houses separated by hyphens.,easy,1,,,original
30,instructability,Provide the houses separated by colons.,easy,1,,,original
31,instructability,Return the answer strictly in JSON format.,easy,1,,,original
32,instructability,Return the answer strictly in plain text.,easy,1,,,original
33,instructability,Provide the houses as a CSV line.,easy,1,,,original
34,instructability,Provide the houses as a markdown list.,easy,1,,,original
35,instructability,Provide the houses as a table with one column.,easy,1,,,original
36,instructability,Provide the houses as a table with two columns.,easy,1,,,original
37,instructability,Provide the houses with numbering starting from 0.,easy,1,,,original
38,instructability,Provide the houses with numbering starting from 1.,easy,1,,,original
39,instructability,Provide the houses without punctuation.,easy,1,,,original
40,instructability,Provide the houses without repeating any word.,easy,1,,,original
41,instructability,Provide the houses sorted in descending alphabetical order.,easy,1,,,original
42,instructability,Provide the houses sorted in ascending alphabetical order.,easy,1,,,original
43,instructability,Provide the houses grouped by first letter.,easy,1,,,original
44,instructability,Provide the houses grouped by length.,easy,1,,,original
45,instructability,Provide the houses in reverse listing order.,easy,1,,,original
46,instructability,Provide the houses in sentence form separated by commas.,easy,1,,,original
47,instructability,Provide the houses in all caps separated by spaces.,easy,1,,,original
48,instructability,Provide the houses in lowercase separated by commas.,easy,1,,,original
49,instructability,Provide the houses in camelCase.,easy,1,,,original
50,instructability,Provide the houses in snake_case.,easy,1,,,original
51,instructability,Provide the houses in kebab-case.,easy,1,,,original
52,instructability,Provide the houses enclosed in curly braces.,easy,1,,,original
53,instructability,Provide the houses enclosed in angle brackets.,easy,1,,,original
54,instructability,Provide the houses as an HTML list.,easy,1,,,original
55,instructability,Provide the houses as a JSON object with key “houses”.,easy,1,,,original
56,instructability,Provide the houses without explanation and without formatting.,easy,1,,,original
57,instructability,"Provide only the names, nothing else.",easy,1,,,original
58,instructability,Provide only four words corresponding to the houses.,easy,1,,,original
59,instructability,Provide the houses in alphabetical order separated by semicolons.,easy,1,,,original
60,instructability,Provide the houses in reverse alphabetical order separated by commas.,easy,1,,,original
61,instructability,Provide the houses sorted by number of letters ascending.,easy,1,,,original
62,instructability,Provide the houses sorted by number of letters descending.,easy,1,,,original
63,instructability,Provide the houses as a single paragraph.,easy,1,,,original
64,instructability,Provide the houses as four separate bullet points.,easy,1,,,original
65,instructability,Provide the houses in lowercase JSON format.,easy,1,,,original
66,instructability,Provide the houses in uppercase JSON format.,easy,1,,,original
67,instructability,Provide the houses enclosed in double quotes separated by commas.,easy,1,,,original
68,instructability,Provide the houses without spaces.,easy,1,,,original
69,instructability,Provide the houses separated only by spaces.,easy,1,,,original
70,instructability,Provide the houses sorted alphabetically with numbering.,easy,1,,,original
71,instructability,List exactly one Hogwarts house.,medium,2,,,original
72,instructability,List exactly two Hogwarts houses.,medium,2,,,original
73,instructability,List exactly three Hogwarts houses.,medium,2,,,original
74,instructability,List exactly four Hogwarts houses.,medium,2,,,original
75,instructability,List exactly two Hogwarts houses excluding Gryffindor.,medium,2,,,original
76,instructability,List exactly two Hogwarts houses excluding Slytherin.,medium,2,,,original
77,instructability,List exactly two Hogwarts houses excluding Ravenclaw.,medium,2,,,original
78,instructability,List exactly two Hogwarts houses excluding Hufflepuff.,medium,2,,,original
79,instructability,List exactly three Hogwarts houses excluding Gryffindor.,medium,2,,,original
80,instructability,List exactly three Hogwarts houses excluding Slytherin.,medium,2,,,original
81,instructability,List exactly three Hogwarts houses excluding Ravenclaw.,medium,2,,,original
82,instructability,List exactly three Hogwarts houses excluding Hufflepuff.,medium,2,,,original
83,instructability,Provide exactly one house in lowercase.,medium,2,,,original
84,instructability,Provide exactly one house in uppercase.,medium,2,,,original
85,instructability,Provide exactly two houses in alphabetical order.,medium,2,,,original
86,instructability,Provide exactly two houses in reverse alphabetical order.,medium,2,,,original
87,instructability,Provide exactly three houses separated by commas.,medium,2,,,original
88,instructability,Provide exactly two houses without commas.,medium,2,,,original
89,instructability,Provide exactly two houses in JSON format.,medium,2,,,original
90,instructability,Provide exactly three houses in JSON array format.,medium,2,,,original
91,instructability,List exactly one house that starts with ‘G’.,medium,2,,,original
92,instructability,List exactly one house that starts with ‘S’.,medium,2,,,original
93,instructability,List exactly one house that starts with ‘R’.,medium,2,,,original
94,instructability,List exactly one house that starts with ‘H’.,medium,2,,,original
95,instructability,Provide exactly two houses not including Slytherin and Ravenclaw.,medium,2,,,original
96,instructability,Provide exactly two houses not including Gryffindor and Hufflepuff.,medium,2,,,original
97,instructability,Provide exactly three houses except Gryffindor.,medium,2,,,original
98,instructability,Provide exactly three houses except Slytherin.,medium,2,,,original
99,instructability,Provide exactly three houses except Ravenclaw.,medium,2,,,original
100,instructability,Provide exactly three houses except Hufflepuff.,medium,2,,,original
101,instructability,Provide exactly one house in quotation marks.,medium,2,,,original
102,instructability,Provide exactly two houses separated by semicolons.,medium,2,,,original
103,instructability,Provide exactly three houses sorted alphabetically.,medium,2,,,original
104,instructability,Provide exactly two houses sorted by name length.,medium,2,,,original
105,instructability,Provide exactly one house in snake_case.,medium,2,,,original
106,instructability,Provide exactly one house in camelCase.,medium,2,,,original
107,instructability,Provide exactly two houses enclosed in brackets.,medium,2,,,original
108,instructability,Provide exactly three houses enclosed in parentheses.,medium,2,,,original
109,instructability,Provide exactly one house as a JSON value.,medium,2,,,original
110,instructability,Provide exactly two houses without explanation.,medium,2,,,original
111,instructability,Provide exactly three houses without punctuation.,medium,2,,,original
112,instructability,Provide exactly two houses in uppercase without commas.,medium,2,,,original
113,instructability,Provide exactly three houses separated by spaces.,medium,2,,,original
114,instructability,Provide exactly two houses separated by vertical bars.,medium,2,,,original
115,instructability,Provide exactly one house starting with a consonant.,medium,2,,,original
116,instructability,Provide exactly one house starting with a vowel.,medium,2,,,original
117,instructability,Provide exactly two houses starting with different letters.,medium,2,,,original
118,instructability,Provide exactly three houses starting with different letters.,medium,2,,,original
119,instructability,Provide exactly two houses not in alphabetical order.,medium,2,,,original
120,instructability,Provide exactly three houses in reverse alphabetical order.,medium,2,,,original
121,instructability,Provide exactly two houses except the alphabetically first one.,medium,2,,,original
122,instructability,Provide exactly two houses except the alphabetically last one.,medium,2,,,original
123,instructability,Provide exactly one house except Gryffindor.,medium,2,,,original
124,instructability,Provide exactly one house except Slytherin.,medium,2,,,original
125,instructability,Provide exactly one house except Ravenclaw.,medium,2,,,original
126,instructability,Provide exactly one house except Hufflepuff.,medium,2,,,original
127,instructability,Provide exactly three houses excluding the shortest name.,medium,2,,,original
128,instructability,Provide exactly three houses excluding the longest name.,medium,2,,,original
129,instructability,Provide exactly two houses excluding the alphabetically middle one.,medium,2,,,original
130,instructability,Provide exactly three houses excluding the alphabetically middle one.,medium,2,,,original
131,instructability,List exactly two Hogwarts houses in lowercase separated by commas.,hard,3,,,original
132,instructability,List exactly three Hogwarts houses in uppercase separated by semicolons.,hard,3,,,original
133,instructability,List exactly two Hogwarts houses in alphabetical order in JSON format.,hard,3,,,original
134,instructability,List exactly three Hogwarts houses in reverse alphabetical order in JSON format.,hard,3,,,original
135,instructability,Provide exactly two houses excluding Gryffindor in lowercase JSON.,hard,3,,,original
136,instructability,Provide exactly three houses excluding Slytherin in uppercase JSON.,hard,3,,,original
137,instructability,Provide exactly two houses excluding Ravenclaw in alphabetical order separated by commas.,hard,3,,,original
138,instructability,Provide exactly three houses excluding Hufflepuff in reverse alphabetical order separated by commas.,hard,3,,,original
139,instructability,Provide exactly two houses sorted by length in lowercase.,hard,3,,,original
140,instructability,Provide exactly three houses sorted by length in uppercase.,hard,3,,,original
141,instructability,Provide exactly two houses enclosed in square brackets separated by semicolons.,hard,3,,,original
142,instructability,Provide exactly three houses enclosed in parentheses separated by commas.,hard,3,,,original
143,instructability,Provide exactly two houses without punctuation in lowercase.,hard,3,,,original
144,instructability,Provide exactly three houses without punctuation in uppercase.,hard,3,,,original
145,instructability,Provide exactly two houses except Gryffindor in reverse alphabetical order.,hard,3,,,original
146,instructability,Provide exactly three houses except Slytherin in alphabetical order.,hard,3,,,original
147,instructability,Provide exactly two houses except Ravenclaw in snake_case.,hard,3,,,original
148,instructability,Provide exactly three houses except Hufflepuff in camelCase.,hard,3,,,original
149,instructability,Provide exactly two houses except the alphabetically first in JSON.,hard,3,,,original
150,instructability,Provide exactly three houses except the alphabetically last in JSON.,hard,3,,,original
151,instructability,Provide exactly two houses sorted alphabetically without explanation.,hard,3,,,original
152,instructability,Provide exactly three houses sorted alphabetically without explanation.,hard,3,,,original
153,instructability,Provide exactly two houses separated by vertical bars in lowercase.,hard,3,,,original
154,instructability,Provide exactly three houses separated by vertical bars in uppercase.,hard,3,,,original
155,instructability,Provide exactly two houses in alphabetical order separated by spaces.,hard,3,,,original
156,instructability,Provide exactly three houses in reverse alphabetical order separated by spaces.,hard,3,,,original
157,instructability,Provide exactly two houses in a single sentence only.,hard,3,,,original
158,instructability,Provide exactly three houses in a single sentence only.,hard,3,,,original
159,instructability,Provide exactly two houses as a Python list in lowercase.,hard,3,,,original
160,instructability,Provide exactly three houses as a Python list in uppercase.,hard,3,,,original
161,instructability,Provide exactly two houses excluding Gryffindor as JSON array.,hard,3,,,original
162,instructability,Provide exactly three houses excluding Slytherin as JSON array.,hard,3,,,original
163,instructability,Provide exactly two houses excluding Ravenclaw as JSON object with key “houses”.,hard,3,,,original
164,instructability,Provide exactly three houses excluding Hufflepuff as JSON object with key “houses”.,hard,3,,,original
165,instructability,Provide exactly two houses sorted by name length descending.,hard,3,,,original
166,instructability,Provide exactly three houses sorted by name length ascending.,hard,3,,,original
167,instructability,Provide exactly two houses in alphabetical order enclosed in quotation marks.,hard,3,,,original
168,instructability,Provide exactly three houses in reverse alphabetical order enclosed in quotation marks.,hard,3,,,original
169,instructability,Provide exactly two houses except the shortest in uppercase.,hard,3,,,original
170,instructability,Provide exactly three houses except the longest in lowercase.,hard,3,,,original
171,consistency,List all Hogwarts houses.,easy,,,C1,original
172,consistency,What are the Hogwarts houses?,easy,,,C1,original
173,consistency,Name the four houses at Hogwarts.,easy,,,C1,original
174,consistency,Provide the Hogwarts houses.,easy,,,C1,original
175,consistency,Enumerate the Hogwarts houses.,easy,,,C1,original
176,consistency,Identify the Hogwarts houses.,easy,,,C2,original
177,consistency,State the Hogwarts houses.,easy,,,C2,original
178,consistency,Return the Hogwarts houses.,easy,,,C2,original
179,consistency,Tell me the Hogwarts houses.,easy,,,C2,original
180,consistency,Which houses exist at Hogwarts?,easy,,,C2,original
181,consistency,List all houses of Hogwarts.,easy,,,C3,original
182,consistency,What houses belong to Hogwarts?,easy,,,C3,original
183,consistency,What are the names of the Hogwarts houses?,easy,,,C3,original
184,consistency,Give me the names of the Hogwarts houses.,easy,,,C3,original
185,consistency,Provide the list of Hogwarts houses.,easy,,,C3,original
186,consistency,Output the Hogwarts house names.,easy,,,C4,original
187,consistency,State the names of the Hogwarts houses.,easy,,,C4,original
188,consistency,Identify the four Hogwarts houses.,easy,,,C4,original
189,consistency,List the official Hogwarts houses.,easy,,,C4,original
190,consistency,Name every Hogwarts house.,easy,,,C4,original
191,consistency,List the main Hogwarts houses.,easy,,,C5,original
192,consistency,List the primary Hogwarts houses.,easy,,,C5,original
193,consistency,List the traditional Hogwarts houses.,easy,,,C5,original
194,consistency,List the original Hogwarts houses.,easy,,,C5,original
195,consistency,List the classic Hogwarts houses.,easy,,,C5,original
196,consistency,List the foundational Hogwarts houses.,easy,,,C6,original
197,consistency,List the central Hogwarts houses.,easy,,,C6,original
198,consistency,List the canonical Hogwarts houses.,easy,,,C6,original
199,consistency,List the core Hogwarts houses.,easy,,,C6,original
200,consistency,List the recognized Hogwarts houses.,easy,,,C6,original
201,consistency,Repeat: list all Hogwarts houses.,easy,,,C7,original
202,consistency,"Once again, list all Hogwarts houses.",easy,,,C7,original
203,consistency,Please list all Hogwarts houses again.,easy,,,C7,original
204,consistency,Provide the Hogwarts houses once more.,easy,,,C7,original
205,consistency,Restate the Hogwarts houses.,easy,,,C7,original
206,consistency,Repeat the Hogwarts house names.,easy,,,C8,original
207,consistency,Output the same Hogwarts houses again.,easy,,,C8,original
208,consistency,Provide the same list of Hogwarts houses.,easy,,,C8,original
209,consistency,List the Hogwarts houses again.,easy,,,C8,original
210,consistency,Reproduce the Hogwarts house list.,easy,,,C8,original
211,consistency,List all Hogwarts houses in alphabetical order.,easy,,,C9,original
212,consistency,List all Hogwarts houses in reverse alphabetical order.,easy,,,C9,original
213,consistency,List all Hogwarts houses sorted by name length.,easy,,,C9,original
214,consistency,List all Hogwarts houses sorted by name length descending.,easy,,,C9,original
215,consistency,List all Hogwarts houses separated by commas.,easy,,,C9,original
216,consistency,List all Hogwarts houses separated by semicolons.,easy,,,C10,original
217,consistency,List all Hogwarts houses in lowercase.,easy,,,C10,original
218,consistency,List all Hogwarts houses in uppercase.,easy,,,C10,original
219,consistency,List all Hogwarts houses in sentence form.,easy,,,C10,original
220,consistency,List all Hogwarts houses as bullet points.,easy,,,C10,original
221,consistency,Provide the Hogwarts houses in plain text.,easy,,,C11,original
222,consistency,Provide the Hogwarts houses in JSON format.,easy,,,C11,original
223,consistency,Provide the Hogwarts houses as a numbered list.,easy,,,C11,original
224,consistency,Provide the Hogwarts houses as a Python list.,easy,,,C11,original
225,consistency,Provide the Hogwarts houses as a CSV line.,easy,,,C11,original
226,consistency,Provide the Hogwarts houses enclosed in brackets.,easy,,,C12,original
227,consistency,Provide the Hogwarts houses enclosed in parentheses.,easy,,,C12,original
228,consistency,Provide the Hogwarts houses enclosed in quotes.,easy,,,C12,original
229,consistency,Provide the Hogwarts houses in one line.,easy,,,C12,original
230,consistency,Provide the Hogwarts houses each on separate lines.,easy,,,C12,original
231,consistency,Name the Hogwarts houses in lowercase only.,easy,,,C13,original
232,consistency,Name the Hogwarts houses in uppercase only.,easy,,,C13,original
233,consistency,Name the Hogwarts houses without punctuation.,easy,,,C13,original
234,consistency,Name the Hogwarts houses without explanation.,easy,,,C13,original
235,consistency,Name the Hogwarts houses without using commas.,easy,,,C13,original
236,consistency,Name the Hogwarts houses separated by vertical bars.,easy,,,C14,original
237,consistency,Name the Hogwarts houses separated by spaces.,easy,,,C14,original
238,consistency,Name the Hogwarts houses separated by slashes.,easy,,,C14,original
239,consistency,Name the Hogwarts houses separated by hyphens.,easy,,,C14,original
240,consistency,Name the Hogwarts houses separated by colons.,easy,,,C14,original
241,consistency,List the major Hogwarts houses.,medium,,,C15,original
242,consistency,List the important Hogwarts houses.,medium,,,C15,original
243,consistency,List the prominent Hogwarts houses.,medium,,,C15,original
244,consistency,List the well-known Hogwarts houses.,medium,,,C15,original
245,consistency,List the significant Hogwarts houses.,medium,,,C15,original
246,consistency,List the primary house groups at Hogwarts.,medium,,,C16,original
247,consistency,List the established Hogwarts houses.,medium,,,C16,original
248,consistency,List the main house divisions at Hogwarts.,medium,,,C16,original
249,consistency,List the four traditional house groups.,medium,,,C16,original
250,consistency,List the official house divisions.,medium,,,C16,original
251,consistency,Name the main house groups.,medium,,,C17,original
252,consistency,Identify the traditional houses.,medium,,,C17,original
253,consistency,Provide the central houses of Hogwarts.,medium,,,C17,original
254,consistency,List the recognized house groups.,medium,,,C17,original
255,consistency,Name the primary divisions of Hogwarts.,medium,,,C17,original
256,consistency,Identify the house categories at Hogwarts.,medium,,,C18,original
257,consistency,Provide the official house names.,medium,,,C18,original
258,consistency,List the Hogwarts house categories.,medium,,,C18,original
259,consistency,Name the institutional houses of Hogwarts.,medium,,,C18,original
260,consistency,Provide the standard Hogwarts houses.,medium,,,C18,original
261,consistency,List the Hogwarts houses as commonly known.,medium,,,C19,original
262,consistency,Name the Hogwarts houses as officially recognized.,medium,,,C19,original
263,consistency,List the four central houses.,medium,,,C19,original
264,consistency,Name the four canonical houses.,medium,,,C19,original
265,consistency,Identify the established houses.,medium,,,C19,original
266,consistency,Provide the four foundational houses.,medium,,,C20,original
267,consistency,List the historic houses of Hogwarts.,medium,,,C20,original
268,consistency,Name the well-established houses.,medium,,,C20,original
269,consistency,Provide the main academic houses.,medium,,,C20,original
270,consistency,Identify the core divisions of Hogwarts.,medium,,,C20,original
271,consistency,List the Hogwarts houses traditionally recognized.,medium,,,C21,original
272,consistency,Provide the Hogwarts houses typically referenced.,medium,,,C21,original
273,consistency,Name the Hogwarts houses most commonly cited.,medium,,,C21,original
274,consistency,Identify the Hogwarts houses in general.,medium,,,C21,original
275,consistency,List the Hogwarts houses in broad terms.,medium,,,C21,original
276,consistency,Provide the Hogwarts houses as generally known.,medium,,,C22,original
277,consistency,Name the houses usually mentioned at Hogwarts.,medium,,,C22,original
278,consistency,Identify the standard house names.,medium,,,C22,original
279,consistency,List the accepted Hogwarts houses.,medium,,,C22,original
280,consistency,Provide the officially structured houses.,medium,,,C22,original
281,consistency,"In alphabetical order, list all Hogwarts houses.",hard,,,C23,original
282,consistency,"List all Hogwarts houses, in alphabetical order.",hard,,,C23,original
283,consistency,"Alphabetically, list the Hogwarts houses.",hard,,,C23,original
284,consistency,"List, in alphabetical order, the Hogwarts houses.",hard,,,C23,original
285,consistency,"Provide, alphabetically, the Hogwarts houses.",hard,,,C23,original
286,consistency,Provide the Hogwarts houses alphabetically.,hard,,,C24,original
287,consistency,Alphabetize and list the Hogwarts houses.,hard,,,C24,original
288,consistency,List the Hogwarts houses after sorting alphabetically.,hard,,,C24,original
289,consistency,Sort alphabetically and list the Hogwarts houses.,hard,,,C24,original
290,consistency,"After sorting alphabetically, list the Hogwarts houses.",hard,,,C24,original
291,consistency,"In reverse alphabetical order, list all Hogwarts houses.",hard,,,C25,original
292,consistency,List all Hogwarts houses in reverse alphabetical order.,hard,,,C25,original
293,consistency,"Reverse alphabetically, list the Hogwarts houses.",hard,,,C25,original
294,consistency,"List, in reverse alphabetical order, the Hogwarts houses.",hard,,,C25,original
295,consistency,Provide the Hogwarts houses in reverse alphabetical order.,hard,,,C25,original
296,consistency,Reverse sort and list the Hogwarts houses.,hard,,,C26,original
297,consistency,"After reversing alphabetical order, list the Hogwarts houses.",hard,,,C26,original
298,consistency,List the Hogwarts houses after reverse sorting alphabetically.,hard,,,C26,original
299,consistency,Reverse alphabetize and list the Hogwarts houses.,hard,,,C26,original
300,consistency,Provide the reverse alphabetical list of Hogwarts houses.,hard,,,C26,original
301,consistency,"Without explanation, list all Hogwarts houses.",hard,,,C27,original
302,consistency,List all Hogwarts houses without explanation.,hard,,,C27,original
303,consistency,Provide the Hogwarts houses without explanation.,hard,,,C27,original
304,consistency,"Without adding explanation, list the Hogwarts houses.",hard,,,C27,original
305,consistency,"List, without explanation, the Hogwarts houses.",hard,,,C27,original
306,consistency,"Without commentary, list the Hogwarts houses.",hard,,,C28,original
307,consistency,Provide the Hogwarts houses without commentary.,hard,,,C28,original
308,consistency,List the Hogwarts houses without commentary.,hard,,,C28,original
309,consistency,"Without any commentary, list the Hogwarts houses.",hard,,,C28,original
310,consistency,"List the Hogwarts houses, without commentary.",hard,,,C28,original
311,consistency,"In JSON format, list all Hogwarts houses.",hard,,,C29,original
312,consistency,List all Hogwarts houses in JSON format.,hard,,,C29,original
313,consistency,Provide the Hogwarts houses in JSON format.,hard,,,C29,original
314,consistency,"In JSON, list the Hogwarts houses.",hard,,,C29,original
315,consistency,"List, in JSON format, the Hogwarts houses.",hard,,,C29,original
316,consistency,"Provide, in JSON format, the Hogwarts houses.",hard,,,C30,original
317,consistency,Return the Hogwarts houses in JSON format.,hard,,,C30,original
318,consistency,"Return, in JSON format, the Hogwarts houses.",hard,,,C30,original
319,consistency,JSON format only: list the Hogwarts houses.,hard,,,C30,original
320,consistency,List the Hogwarts houses strictly in JSON format.,hard,,,C30,original
321,planning,Remove Gryffindor and list the remaining houses alphabetically.,easy,,2,,original
322,planning,Remove Slytherin and list the remaining houses alphabetically.,easy,,2,,original
323,planning,Remove Ravenclaw and list the remaining houses alphabetically.,easy,,2,,original
324,planning,Remove Hufflepuff and list the remaining houses alphabetically.,easy,,2,,original
325,planning,Remove Gryffindor and list the remaining houses in reverse alphabetical order.,easy,,2,,original
326,planning,Remove Slytherin and list the remaining houses in reverse alphabetical order.,easy,,2,,original
327,planning,Remove Ravenclaw and list the remaining houses in reverse alphabetical order.,easy,,2,,original
328,planning,Remove Hufflepuff and list the remaining houses in reverse alphabetical order.,easy,,2,,original
329,planning,Remove Gryffindor and count how many houses remain.,easy,,2,,original
330,planning,Remove Slytherin and count how many houses remain.,easy,,2,,original
331,planning,Remove Ravenclaw and count how many houses remain.,easy,,2,,original
332,planning,Remove Hufflepuff and count how many houses remain.,easy,,2,,original
333,planning,Remove the alphabetically first house and list the rest.,easy,,2,,original
334,planning,Remove the alphabetically last house and list the rest.,easy,,2,,original
335,planning,Remove the shortest house name and list the rest.,easy,,2,,original
336,planning,Remove the longest house name and list the rest.,easy,,2,,original
337,planning,Remove one house of your choice and list the remaining houses alphabetically.,easy,,2,,original
338,planning,Remove one house of your choice and count the remaining houses.,easy,,2,,original
339,planning,Remove one house of your choice and list the remaining houses in reverse order.,easy,,2,,original
340,planning,Remove one house of your choice and output the remaining houses in JSON format.,easy,,2,,original
341,planning,Remove Gryffindor and output remaining houses as a Python list.,easy,,2,,original
342,planning,Remove Slytherin and output remaining houses as a Python list.,easy,,2,,original
343,planning,Remove Ravenclaw and output remaining houses as a Python list.,easy,,2,,original
344,planning,Remove Hufflepuff and output remaining houses as a Python list.,easy,,2,,original
345,planning,Remove Gryffindor and output remaining houses in lowercase.,easy,,2,,original
346,planning,Remove Slytherin and output remaining houses in uppercase.,easy,,2,,original
347,planning,Remove Ravenclaw and output remaining houses in lowercase.,easy,,2,,original
