Prompt,DeepSeek_Output
List all Hogwarts houses in lowercase only.,"Here are all the Hogwarts houses in lowercase only:  

- gryffindor  
- hufflepuff  
- ravenclaw  
- slytherin  

Let me know if you'd like any modifications!"
List all Hogwarts houses in uppercase only.,"Here are the Hogwarts houses in uppercase:

GRYFFINDOR  
HUFFLEPUFF  
RAVENCLAW  
SLYTHERIN"
List all Hogwarts houses in title case only.,"Gryffindor  
Hufflepuff  
Ravenclaw  
Slytherin"
Return the Hogwarts houses as a comma-separated list.,"The four Hogwarts houses from J.K. Rowling's *Harry Potter* universe are:

**Gryffindor, Hufflepuff, Ravenclaw, Slytherin**  

(Returned as a comma-separated list as requested.)"
Return the Hogwarts houses separated by semicolons.,"Here are the Hogwarts houses separated by semicolons:  

**Gryffindor; Hufflepuff; Ravenclaw; Slytherin**"
Return the Hogwarts houses separated by vertical bars.,"Sure! Here are the Hogwarts houses separated by vertical bars:

**Gryffindor | Hufflepuff | Ravenclaw | Slytherin**"
Return the Hogwarts houses separated by slashes.,"Sure! Here are the Hogwarts houses separated by slashes:

**Gryffindor / Hufflepuff / Ravenclaw / Slytherin**"
Return the Hogwarts houses as a JSON array.,"Here is a JSON array containing the four Hogwarts houses from the Harry Potter series:

```json
[
    ""Gryffindor"",
    ""Hufflepuff"",
    ""Ravenclaw"",
    ""Slytherin""
]
```"
Return the Hogwarts houses as a Python list.,"Here is a Python list containing the four Hogwarts houses from the Harry Potter series:

```python
hogwarts_houses = [""Gryffindor"", ""Hufflepuff"", ""Ravenclaw"", ""Slytherin""]
```

You can now use `hogwarts_houses` in your code to reference the houses. 

Example usage:
```python
for house in hogwarts_houses:
    print(house)
```

Would output:
```
Gryffindor
Hufflepuff
Ravenclaw
Slytherin
```"
Return the Hogwarts houses as a numbered list.,"Sure! Here are the four Hogwarts houses from the Harry Potter series presented as a numbered list:

1. **Gryffindor**  
2. **Hufflepuff**  
3. **Ravenclaw**  
4. **Slytherin**  

Let me know if you'd like more details about any of them! 🪄"
Return the Hogwarts houses as bullet points.,"Certainly! Here are the four Hogwarts houses from the Harry Potter series, presented as bullet points:  

- **Gryffindor**  
- **Hufflepuff**  
- **Ravenclaw**  
- **Slytherin**  

Let me know if you'd like additional details about any of them!"
Return the Hogwarts houses on a single line only.,Gryffindor Hufflepuff Ravenclaw Slytherin
Return the Hogwarts houses each on a new line.,"Certainly! Here are the four Hogwarts houses from the Harry Potter series, each on a new line:

```
Gryffindor
Hufflepuff
Ravenclaw
Slytherin
``` 

Let me know if you'd like any additional details!"
"Return only the house names, no explanation.","Gryffindor  
Ravenclaw  
Hufflepuff  
Slytherin"
Provide the list without any introductory text.,"1. Apples  
2. Bananas  
3. Oranges  
4. Grapes  
5. Strawberries"
Do not include the word 'house' in your answer.,"Got it! Here’s a response without using the word ""house"":  

A cozy dwelling nestled in the countryside offers tranquility and charm. Its warm interiors, surrounded by nature, create a peaceful retreat for relaxation and comfort."
Provide the houses enclosed in square brackets.,"Sure! Here are some examples of houses enclosed in square brackets:

1. [The White House]
2. [Buckingham Palace]
3. [Hogwarts Castle]
4. [The House of the Seven Gables]
5. [The House of Usher]

Let me know if you'd like more examples or specific types of houses!"
Provide the houses enclosed in parentheses.,"Sure! Here are some examples of houses enclosed in parentheses:

1. (The White House)
2. (Buckingham Palace)
3. (The House of Windsor)
4. (The House of Representatives)
5. (The House of Lords)
6. (The House of Commons)
7. (The House of Usher)
8. (The House of Mirth)
9. (The House of Cards)
10. (The House of the Rising Sun)

Let me know if you'd like more examples or a specific context!"
Provide the houses enclosed in quotation marks.,"Here are some examples of house names enclosed in quotation marks:  

1. ""Hogwarts"" (from *Harry Potter*)  
2. ""Winterfell"" (from *Game of Thrones*)  
3. ""Wayne Manor"" (from *Batman*)  
4. ""Downton Abbey"" (from *Downton Abbey*)  
5. ""The House of Usher"" (from *The Fall of the House of Usher*)  
6. ""Gryffindor"" (one of the houses at Hogwarts)  
7. ""The White House"" (official residence of the U.S. president)  
8. ""House Lannister"" (from *Game of Thrones*)  
9. ""12 Grimmauld Place"" (from *Harry Potter*)  
10. ""Bag End"" (Bilbo and Frodo Baggins' home in *The Lord of the Rings*)  

Would you like house names from a specific genre,"
Provide the houses in reverse alphabetical order.,"Certainly! Below is a list of the twelve zodiac houses in **reverse alphabetical order**:

1. **Twelfth House**  
2. **Tenth House**  
3. **Sixth House**  
4. **Second House**  
5. **Seventh House**  
6. **Fifth House**  
7. **First House**  
8. **Fourth House**  
9. **Third House**  
10. **Ninth House**  
11. **Eighth House**  
12. **Eleventh House**  

Let me know if you'd like any additional details!"
Provide the houses in alphabetical order.,"Certainly! In alphabetical order, the four Hogwarts houses from *Harry Potter* are:

1. **Gryffindor**  
2. **Hufflepuff**  
3. **Ravenclaw**  
4. **Slytherin**  

Would you like details about any specific house (traits, founders, colors, etc.)? :)"
Provide the houses sorted by length of name.,"Here are the noble houses from *A Song of Ice and Fire* sorted by the length of their names (shortest to longest):  

### **1-Letter Names**  
- **House Q** (A minor house from Qarth)  

### **4-Letter Names**  
- House Frey  
- House Reed  
- House Wull  

### **5-Letter Names**  
- House Arryn  
- House Black (House Blackfyre)  
- House Bolton  
- House Brune  
- House Cassel  
- House Clegane  
- House Conk  
- House Dond  
- House Drink  
- House Egen  
- House Foote  
- House Forre  
- House Foss  
- House Frey (alternate spelling)  
- House Good  
- House Hew  
- House Holt  
- House Hook  
- House Hogg  
- House **Hoare**  
- House Hasty  
- House Jord  
- House Karstark  
- House"
Provide the houses in reverse order of length.,"Here’s a list of houses (from literature, mythology, and popular culture) in reverse order of length, based on the number of letters in their names:

1. **Hogwarts** (8 letters)  
2. **Bag End** (7 letters)  
3. **Wayne Manor** (11 letters)  
4. **Downton Abbey** (13 letters)  
5. **Pemberley** (9 letters)  
6. **Green Gables** (12 letters)  
7. **Thornfield Hall** (15 letters)  
8. **Manderley** (9 letters)  
9. **Casa Loma** (8 letters)  
10. **Brideshead** (10 letters)  

Let me know if you'd like me to expand or refine this list!"
Provide the houses in a single sentence only.,"The houses include Gryffindor, Hufflepuff, Ravenclaw, and Slytherin."
Provide the houses in exactly four words.,"""Home, Shelter, Dwelling, Residence."""
Provide the houses without using commas.,"Here are the houses without using commas:  

1. Gryffindor  
2. Hufflepuff  
3. Ravenclaw  
4. Slytherin  

Let me know if you'd like more details!"
Provide the houses without using conjunctions.,Houses. Homes. Residences. Dwellings. Abodes. Habitations. Lodgings. Quarters. Mansions. Cottages. Bungalows. Apartments. Condos. Cabins. Villas. Shacks. Huts. Estates. Palaces. Castles.
Provide the houses separated by the word 'and'.,"Here are some houses separated by the word ""and"":  

- House Stark **and** House Lannister  
- House Targaryen **and** House Baratheon  
- House Arryn **and** House Tully  
- House Greyjoy **and** House Martell  

Let me know if you'd like a different format or theme!"
Provide the houses separated by hyphens.,"Sure! Here are some examples of houses separated by hyphens:

1. Gryffindor-Hufflepuff-Ravenclaw-Slytherin  
2. Tudor-Colonial-Ranch-Cape-Cod  
3. Victorian-Craftsman-Bungalow-Modern  
4. Beach-Cottage-Lakehouse-Cabin  
5. Farmhouse-Townhouse-Mansion-Condo  

Let me know if you'd like a specific list!"
Provide the houses separated by colons.,"Sure! Here are some examples of houses separated by colons:

1. House A: House B: House C  
2. Red House: Blue House: Green House  
3. Cottage: Mansion: Bungalow  
4. Beach House: Mountain Cabin: City Apartment  
5. Victorian House: Modern House: Colonial House  

Let me know if you'd like more examples or a specific format!"
Return the answer strictly in JSON format.,"```json
{
  ""answer"": ""Here is your answer in strictly JSON format.""
}
```"
Return the answer strictly in plain text.,"Sure! Here’s the answer in plain text:

The answer is: [Your response here]."
