Prompt,GPT_Output
List all Hogwarts houses in lowercase only.,"gryffindor, hufflepuff, ravenclaw, slytherin"
List all Hogwarts houses in uppercase only.,"GRYFFINDOR, HUFFLEPUFF, RAVENCLAW, SLYTHERIN."
List all Hogwarts houses in title case only.,"Gryffindor  
Hufflepuff  
Ravenclaw  
Slytherin  "
Return the Hogwarts houses as a comma-separated list.,"Gryffindor, Hufflepuff, Ravenclaw, Slytherin"
Return the Hogwarts houses separated by semicolons.,Gryffindor; Hufflepuff; Ravenclaw; Slytherin
Return the Hogwarts houses separated by vertical bars.,Gryffindor | Hufflepuff | Ravenclaw | Slytherin
Return the Hogwarts houses separated by slashes.,Gryffindor / Hufflepuff / Ravenclaw / Slytherin
Return the Hogwarts houses as a JSON array.,"Sure! Here is a JSON array representing the Hogwarts houses:

```json
[
    {
        ""name"": ""Gryffindor"",
        ""traits"": [""bravery"", ""courage"", ""chivalry""]
    },
    {
        ""name"": ""Hufflepuff"",
        ""traits"": [""hard work"", ""patience"", ""loyalty""]
    },
    {
        ""name"": ""Ravenclaw"",
        ""traits"": [""intelligence"", ""creativity"", ""wisdom""]
    },
    {
        ""name"": ""Slytherin"",
        ""traits"": [""ambition"", ""cunning"", ""resourcefulness""]
    }
]
```

Feel free to modify it as needed!"
Return the Hogwarts houses as a Python list.,"Sure! Here is a Python list containing the names of the Hogwarts houses:

```python
hogwarts_houses = [""Gryffindor"", ""Hufflepuff"", ""Ravenclaw"", ""Slytherin""]
```

You can use this list in your Python code as needed!"
Return the Hogwarts houses as a numbered list.,"Sure! Here are the Hogwarts houses as a numbered list:

1. Gryffindor
2. Hufflepuff
3. Ravenclaw
4. Slytherin"
Return the Hogwarts houses as bullet points.,"Sure! Here are the Hogwarts houses:

- Gryffindor
- Hufflepuff
- Ravenclaw
- Slytherin"
Return the Hogwarts houses on a single line only.,"Gryffindor, Hufflepuff, Ravenclaw, Slytherin."
Return the Hogwarts houses each on a new line.,"Gryffindor  
Hufflepuff  
Ravenclaw  
Slytherin  "
"Return only the house names, no explanation.",Sure! Please provide the list of house names you would like me to return.
Provide the list without any introductory text.,Sure! Please provide the list you would like me to present.
Do not include the word 'house' in your answer.,Sure! How can I assist you today?
Provide the houses enclosed in square brackets.,"Sure! Please provide the text or context where the houses are enclosed in square brackets, and I'll help you identify them."
Provide the houses enclosed in parentheses.,"It seems like you might be referring to a specific text or context that includes houses enclosed in parentheses. However, I don't have access to that specific information. If you could provide the text or context you're referring to, I'd be happy to help you identify the houses enclosed in parentheses!"
Provide the houses enclosed in quotation marks.,Sure! Please provide the text or context from which you would like me to extract the houses enclosed in quotation marks.
Provide the houses in reverse alphabetical order.,"Sure! Here are the houses from the Harry Potter series in reverse alphabetical order:

1. Slytherin
2. Ravenclaw
3. Hufflepuff
4. Gryffindor

If you meant a different context for ""houses,"" please let me know!"
Provide the houses in alphabetical order.,"Sure! Here are the houses from the ""Harry Potter"" series in alphabetical order:

1. Gryffindor
2. Hufflepuff
3. Ravenclaw
4. Slytherin

If you meant a different context for ""houses,"" please let me know!"
Provide the houses sorted by length of name.,"Here are the houses from the ""Game of Thrones"" series sorted by the length of their names:

1. **Tully** (5)
2. **Greyjoy** (7)
3. **Arryn** (5)
4. **Stark** (5)
5. **Tyrell** (6)
6. **Martell** (7)
7. **Targaryen** (9)
8. **Lannister** (8)
9. **Baratheon** (9)
10. **Targaryen** (9)

If you need further information or a different sorting criterion, feel free to ask!"
Provide the houses in reverse order of length.,"To provide the houses in reverse order of length, I would need a specific list of houses to work with. If you can provide the names of the houses, I can help you sort them accordingly."
Provide the houses in a single sentence only.,"The houses in the Harry Potter series are Gryffindor, Hufflepuff, Ravenclaw, and Slytherin."
Provide the houses in exactly four words.,"Sure! Here are the four houses from Harry Potter in exactly four words each:

1. **Gryffindor**: Brave, daring, chivalrous, bold.
2. **Hufflepuff**: Loyal, patient, hardworking, fair.
3. **Ravenclaw**: Intelligent, wise, creative, witty.
4. **Slytherin**: Ambitious, cunning, resourceful, determined."
Provide the houses without using commas.,"Sure! Here are the houses without using commas:

Gryffindor
Hufflepuff
Ravenclaw
Slytherin"
